time_d,value,type,figure
0.0330882,0.0556881,plasma_mRNA,fig2upper
0.4301471,0.0031829,plasma_mRNA,fig2upper
1.0036765,0.0000791,plasma_mRNA,fig2upper
1.3345588,0.0000205,plasma_mRNA,fig2upper
2.9889706,0.0000005,plasma_mRNA,fig2upper
0.0210183,0.0002543,liver_mRNA,fig2upper
0.1200509,0.0004184,liver_mRNA,fig2upper
0.2309764,0.0003472,liver_mRNA,fig2upper
0.4867109,0.0001365,liver_mRNA,fig2upper
1.0538297,0.0000165,liver_mRNA,fig2upper
2.9716515,0.0000018,liver_mRNA,fig2upper
0.047407407,458.1783265,total_bilirubin,fig2upper
0.266666667,434.079561,total_bilirubin,fig2upper
0.416296296,347.3635117,total_bilirubin,fig2upper
0.867325103,126.0192044,total_bilirubin,fig2upper
1.679341564,50.58436214,total_bilirubin,fig2upper
2.991604938,46.29355281,total_bilirubin,fig2upper
0,0.0687286,plasma_mRNA,fig2lower
0.6406771,0.000667,plasma_mRNA,fig2lower
1.1327263,0.0000397,plasma_mRNA,fig2lower
1.9874327,0.0000041,plasma_mRNA,fig2lower
0.1022057,0.0293061,plasma_mRNA,fig2lower
0.3043088,0.0065906,plasma_mRNA,fig2lower
0.9876892,0.0000793,plasma_mRNA,fig2lower
2.9739677,0.0000005,plasma_mRNA,fig2lower
0.0211001,0.0002451,liver_mRNA,fig2lower
0.1311325,0.0004274,liver_mRNA,fig2lower
0.9873201,0.0000183,liver_mRNA,fig2lower
1.9853389,0.0000044,liver_mRNA,fig2lower
2.9716932,0.0000017,liver_mRNA,fig2lower
0.05,569.23,total_bilirubin,fig2lower
0.35,507.69,total_bilirubin,fig2lower
0.63,284.62,total_bilirubin,fig2lower
1,126.92,total_bilirubin,fig2lower
1.99,61.54,total_bilirubin,fig2lower
2.98,57.69,total_bilirubin,fig2lower