"LNP","LNPp","LNPa","LNPe","mRNAc","protein","hour"
0.12,0,0,0,0,0,0
0.0887887698518546,0.0170678510528558,0.00378502377817874,0.000504924113259907,1.25892067186118e-05,0.24597750877158,1
0.0657088108217689,0.0282643526710202,0.00566951880329071,0.00145687583371075,7.84395231649572e-05,2.81698884945202,2
0.0486406113448209,0.0352386794656213,0.00636997847083394,0.00236636796400257,0.00020697748687763,11.4930730863282,3
0.0360172289923386,0.0392001662614514,0.00636260839693786,0.00303931479594954,0.000385095095136033,29.7327048097494,4
0.0266802246077371,0.0410338068228129,0.00595892139495689,0.00343359141452516,0.00059276871255974,59.8092542117129,5
0.0197731580100883,0.0413855705874035,0.00535848885465304,0.00357766492211564,0.000810618036714108,102.673758039776,6
0.0146628519139165,0.0407254124084228,0.00468556319732158,0.00352627895159848,0.00102301447371028,158.142385171601,7
0.0108811841801934,0.0393937965451535,0.00401435167231572,0.00333778774028543,0.00121886148834766,225.193369719993,8
0.00808205614662695,0.0376360379520233,0.00338633620330871,0.00306377814649501,0.00139126264314176,302.266114359285,9
0.00600958021028745,0.0356276416366235,0.00282204342550195,0.00274538251002568,0.00153674834142195,387.515681975832,10
0.00447456159808247,0.0334929910888169,0.00232896218640538,0.00241300697899726,0.00165441145718411,479.00827046218,11
0.00333711176405078,0.0313191235898666,0.00190680274978134,0.00208761280392701,0.00174511810016097,574.859313599768,12
0.00249379482905432,0.0291658766978722,0.0015509345610179,0.00178253501082162,0.00181085804591795,673.322750687558,13
0.00186812494274168,0.0270733553359557,0.0012545865363211,0.00150531937637843,0.00185424625797199,772.842001105173,14
0.00140354141314649,0.025067420507871,0.0010102149694241,0.00125934154905277,0.00187816180325625,872.072734369398,15
0.00105821452964247,0.0231637189045189,0.000810318942711897,0.00104512743618827,0.0018855006370244,969.886068631964,16
0.000801207218982079,0.0213706342803676,0.000647894205786203,0.00086137228511878,0.0018790174073315,1065.35903281811,17
0.000609634853792824,0.0196914472342402,0.000516656703102617,0.000705694494662729,0.00186123314883065,1157.75750364817,18
0.000466567784023712,0.0181259079681472,0.00041112183822681,0.000575169955250051,0.00183439021622634,1246.51529019348,19
0.000359479528635994,0.0166713796488484,0.000326598846304999,0.000466695368858674,0.00180043913347741,1331.211979594,20
0.000279099428513624,0.0153236651323247,0.000259137403084157,0.000377223109533244,0.00176104608300252,1411.55117684469,21
0.000218565036552462,0.0140776006497459,0.000205451087590858,0.000303902303733864,0.00171761272535348,1487.34018414384,22
0.000172794802730816,0.0129274796190658,0.000162832626256221,0.000244154503914704,0.00167130247866615,1558.47164052871,23
0.000138024801846635,0.0118673512749674,0.000129069918249068,0.000195704655657139,0.00162306933129125,1624.9073676385,24
0.000111463610517168,0.0108912299319044,0.000102367224255646,0.000156583304241473,0.00157368681383283,1686.66432896977,25
9.10427786058693e-05,0.00999323402564691,8.1275646704329e-05,0.000125110788283103,0.0015237749800154,1743.80291473038,26
7.52267129082088e-05,0.00916768166052263,6.46317232726458e-05,9.98724766745785e-05,0.00147382520939407,1796.41695960278,27
6.28746409899382e-05,0.00840914934264025,5.15050750520354e-05,7.96888882555431e-05,0.00142422215645997,1844.62553220999,28
5.31383905854964e-05,0.00771250627673039,4.11545248657858e-05,6.35850130268747e-05,0.0013752627280787,1888.56622915497,29
4.53862713705418e-05,0.00707293159856121,3.2991479219945e-05,5.07608055923545e-05,0.00132717232295183,1928.38971604791,30
3.9147159911396e-05,0.00648591906386368,2.65498626334694e-05,4.056391074545e-05,0.00128011849656371,1964.2553563344,31
3.40688358553237e-05,0.0059472735816291,2.14614774486846e-05,3.24653160686895e-05,0.00123422237734003,1996.32771920108,32
2.9887411095832e-05,0.00545310192312516,1.74360683337629e-05,2.60380309996564e-05,0.00118956808512278,2024.77383587883,33
2.64048674386005e-05,0.00499979983362877,1.42453812108458e-05,2.09389781784069e-05,0.00114621037813696,2049.76108092057,34
2.34713792173381e-05,0.00458403763264039,1.17100117258473e-05,1.68934904233682e-05,0.00110418102556118,2071.45547991116,35
2.09737034449571e-05,0.00420274353353313,9.68922301166991e-06,1.3682288310832e-05,0.00106349384488608,2090.02048213329,36
1.88256449788215e-05,0.0038530873826851,8.0727354574972e-06,1.11308935613616e-05,0.00102414877253083,2105.6160212734,37
1.69611139443394e-05,0.00353246430548687,6.77421578337109e-06,9.10084790641936e-06,0.000986135129026494,2118.39783087792,38
1.53292666963002e-05,0.00323847850919853,5.72608311740765e-06,7.48244826973088e-06,0.000949434235666906,2128.51696007266,39
1.38905127461209e-05,0.00296892806175633,4.87549504700594e-06,6.18902409445162e-06,0.000914021450728478,2136.11945185483,40
1.2613848310853e-05,0.00272179013846695,4.18111070795287e-06,5.15214901982102e-06,0.000879867812954623,2141.34613863289,41
1.14747941874549e-05,0.00249520720883169,3.61058512529075e-06,4.31791051312375e-06,0.000846941304332361,2144.33253935596,42
1.04537176454169e-05,0.00228747415066886,3.13860836793696e-06,3.64386694988674e-06,0.000815207851133125,2145.20882559348,43
9.53474143298815e-06,0.00209702611989876,2.74534490428614e-06,3.09661905850179e-06,0.000784632101827501,2144.09984534338,44
8.70491905423948e-06,0.00192242729238339,2.41523171363732e-06,2.64991565599508e-06,0.000755178017363149,2141.12519190731,45
7.95354551625805e-06,0.00176236048193563,2.13604951053945e-06,2.28313229738072e-06,0.000726809327814415,2136.39930251043,46
7.27164316246318e-06,0.0016156175163269,1.8981795279744e-06,1.98004464028782e-06,0.000699489888079126,2130.03157752577,47
6.65162894767655e-06,0.00148109031186324,1.69402432643237e-06,1.72789796656708e-06,0.000673183936838661,2122.1265187303,48
6.08702234629212e-06,0.00135776267908397,1.51756956041611e-06,1.51666085654516e-06,0.000647856289967576,2112.78387824915,49
5.57222153223698e-06,0.00124470278074486,1.36403882431958e-06,1.33841760464472e-06,0.000623472486577283,2102.09881325968,50
5.10235190277842e-06,0.00114105614512889,1.22961764903127e-06,1.1869238710915e-06,0.000599998887935721,2090.16204623274,51
4.67313512943055e-06,0.00104603928746614,1.11124795233881e-06,1.05724542714107e-06,0.000577402746244205,2077.06002605333,52
4.28078833092795e-06,0.000958933955088346,1.00646690377452e-06,9.45467412043123e-07,0.000555652251864276,2062.87508476585,53
3.92194727748837e-06,0.000879081561008862,9.13274894857563e-07,8.48474893535382e-07,0.000534716559147409,2047.68560112962,54
3.59360412785271e-06,0.000805878275028084,8.30039279256051e-07,7.63780075638119e-07,0.000514565798125638,2031.56615612256,55
3.29305791795864e-06,0.000738770435753819,7.55417827098536e-07,6.89387033987467e-07,0.000495171075099168,2014.58768777784,56
3.01787684671422e-06,0.000677250689078653,6.88302535172199e-07,6.23693982357082e-07,0.00047650446626443,1996.81762914745,57
2.76586018478131e-06,0.000620853747381019,6.2776526937623e-07,5.6539712702556e-07,0.000458539005196919,1978.32006655273,58
2.53501388813639e-06,0.000569153084087832,5.73026347196187e-07,5.13434794570552e-07,0.000441248664203411,1959.15587373785,59
2.32352720243646e-06,0.000521757650104798,5.23425592139974e-07,4.66936970740756e-07,0.000424608332912324,1939.38285021022,60
2.12975238819788e-06,0.000478308932966691,4.78398968254105e-07,4.25184665747913e-07,0.000408593795728883,1919.05585194745,61
1.95218826637729e-06,0.000438478234429048,4.374617988488e-07,3.87580645971045e-07,0.000393181706318059,1898.22691957745,62
1.78946861044059e-06,0.000401964830579126,4.00196586980829e-07,3.53628401686093e-07,0.000378349570448182,1876.94536598158,63
1.64034013381183e-06,0.000368492169490746,3.66232537830708e-07,3.22897053342033e-07,0.00036407570498609,1855.25796758233,64
1.50365442381119e-06,0.000337806253042948,3.35240055328326e-07,2.95012311714299e-07,0.000350339217113,1833.20905114647,65
1.37837545837011e-06,0.000309675828330364,3.06947705315555e-07,2.69687230145436e-07,0.000337119986315914,1810.84052262565,66
1.26354701190278e-06,0.000283887994529192,2.81102716737856e-07,2.46653448624119e-07,0.000324398630583118,1788.1920703936,67
1.1582927045542e-06,0.000260247559127698,2.57477432440306e-07,2.25673483155279e-07,0.000312156484759693,1765.30122857797,68
1.06181097959211e-06,0.000238575735390866,2.358688368823e-07,2.06540713315465e-07,0.000300375575367102,1742.20346756146,69
9.73370639739466e-07,0.00021870860984129,2.16099744551211e-07,1.89081963760903e-07,0.000289038591585997,1718.93229565177,70
8.92300756506589e-07,0.000200495904287583,1.9800826427912e-07,1.73140126035489e-07,0.000278128866740887,1695.51934401869,71
8.17985376986071e-07,0.00018379983178903,1.81445922774386e-07,1.58571715850363e-07,0.000267630354994542,1671.99445217714,72
