time,conc
0.41519,2.20844
0.39451,1.14588
1.68652,0.72479
0.52328,0.68129
2.26015,0.58002
0.80112,0.45845
2.8283,0.3903
1.22763,0.34485
0.93106,0.28289
2.38033,0.26264
2.0865,0.23495
5.27927,0.2292
4.11446,0.20503
3.82492,0.21017
7.15622,0.16612
5.84625,0.14861
8.01821,0.12496
9.90765,0.1346
9.03278,0.11892
12.23179,0.14143
12.08507,0.1346
12.79878,0.0917
23.98829,0.1346
24.12214,0.094
18.74063,0.06729
24.11004,0.06404
35.87123,0.07071
36.14828,0.04642
47.91766,0.06646
48.03512,0.0276
48.03278,0.02562
60.07453,0.02076
71.96449,0.01363
72.23062,0.00633
96.19394,0.00917