time,conc,type
0.63,47.252,"plasma, AmB, simul"
9.128,13.789,"plasma, AmB, simul"
28.013,1.535,"plasma, AmB, simul"
18.256,4.479,"plasma, AmB, simul"
40.289,0.448,"plasma, AmB, simul"
56.341,0.138,"plasma, AmB, simul"
65.469,0.106,"plasma, AmB, simul"
79.633,0.1,"plasma, AmB, simul"
95.37,0.095,"plasma, AmB, simul"
0,0.047,"plasma, nonLIP, simul"
5.685,0.056,"plasma, nonLIP, simul"
11.427,0.064,"plasma, nonLIP, simul"
19.538,0.068,"plasma, nonLIP, simul"
27.984,0.076,"plasma, nonLIP, simul"
36.77,0.081,"plasma, nonLIP, simul"
44.881,0.086,"plasma, nonLIP, simul"
53.667,0.092,"plasma, nonLIP, simul"
62.118,0.093,"plasma, nonLIP, simul"
70.564,0.104,"plasma, nonLIP, simul"
95.242,0.1,"plasma, nonLIP, simul"
0,118.856,"plasma, AmB, obs"
0,100.005,"plasma, AmB, obs"
0.008,84.161,"plasma, AmB, obs"
0.357,63.125,"plasma, AmB, obs"
1.388,39.854,"plasma, AmB, obs"
3.437,22.439,"plasma, AmB, obs"
6.511,9.48,"plasma, AmB, obs"
11.6,5.664,"plasma, AmB, obs"
23.809,1.911,"plasma, AmB, obs"
47.541,0.29,"plasma, AmB, obs"
71.601,0.055,"plasma, AmB, obs"
0.338,21.544,"liver, AmB, simul"
1.69,38.986,"liver, AmB, simul"
8.113,59.255,"liver, AmB, simul"
14.873,65.793,"liver, AmB, simul"
27.38,68.129,"liver, AmB, simul"
52.056,63.538,"liver, AmB, simul"
75.042,61.359,"liver, AmB, simul"
96,55.262,"liver, AmB, simul"
0.338,1.574,"liver, nonLIP, simul"
5.07,1.688,"liver, nonLIP, simul"
7.775,1.81,"liver, nonLIP, simul"
13.183,2.154,"liver, nonLIP, simul"
16.225,2.154,"liver, nonLIP, simul"
21.296,2.31,"liver, nonLIP, simul"
27.718,2.477,"liver, nonLIP, simul"
35.493,2.656,"liver, nonLIP, simul"
43.606,2.75,"liver, nonLIP, simul"
55.099,2.848,"liver, nonLIP, simul"
64.225,2.949,"liver, nonLIP, simul"
76.056,2.949,"liver, nonLIP, simul"
86.873,3.162,"liver, nonLIP, simul"
96,3.054,"liver, nonLIP, simul"
72,55.262,"liver, AmB, obs"
0.338,0.2777,"kidney, nonLIP, simul"
2.0282,0.4668,"kidney, nonLIP, simul"
5.4085,0.6375,"kidney, nonLIP, simul"
11.1549,0.841,"kidney, nonLIP, simul"
19.2676,0.9331,"kidney, nonLIP, simul"
28.7324,1.1095,"kidney, nonLIP, simul"
38.5352,1.2309,"kidney, nonLIP, simul"
58.1408,1.4138,"kidney, nonLIP, simul"
78.4225,1.4636,"kidney, nonLIP, simul"
95.662,1.5151,"kidney, nonLIP, simul"
0.6761,8.8587,"kidney, AmB, simul"
6.0845,4.1356,"kidney, AmB, simul"
13.5211,2.142,"kidney, AmB, simul"
21.6338,1.4636,"kidney, AmB, simul"
32.7887,1.2743,"kidney, AmB, simul"
52.0563,1.3656,"kidney, AmB, simul"
73.6901,1.5151,"kidney, AmB, simul"
95.662,1.5685,"kidney, AmB, simul"
72,0.5551,"kidney, AmbB, obs"
0.84,0.095,"heart, nonLIP, simul"
11.97,0.115,"heart, nonLIP, simul"
21.075,0.132,"heart, nonLIP, simul"
30.853,0.152,"heart, nonLIP, simul"
39.281,0.167,"heart, nonLIP, simul"
51.411,0.175,"heart, nonLIP, simul"
70.274,0.175,"heart, nonLIP, simul"
96.214,0.183,"heart, nonLIP, simul"
1.204,13.849,"heart, AmB, simul"
10.201,3.594,"heart, AmB, simul"
19.887,1.177,"heart, AmB, simul"
33.946,0.351,"heart, AmB, simul"
45.028,0.221,"heart, AmB, simul"
62.197,0.192,"heart, AmB, simul"
95.878,0.183,"heart, AmB, simul"
72,0.385,"heart, AmB, obs"
0.339,2.393,"spleen, nonLIP, simul"
8.481,4.206,"spleen, nonLIP, simul"
18.657,5.41,"spleen, nonLIP, simul"
32.226,6.281,"spleen, nonLIP, simul"
44.777,7.038,"spleen, nonLIP, simul"
55.633,7.346,"spleen, nonLIP, simul"
67.166,7.671,"spleen, nonLIP, simul"
85.145,8.048,"spleen, nonLIP, simul"
96,8.113,"spleen, nonLIP, simul"
0.339,36.367,"spleen, AmB, simul"
2.035,87.104,"spleen, AmB, simul"
6.106,142.378,"spleen, AmB, simul"
13.908,170.476,"spleen, AmB, simul"
36.975,173.358,"spleen, AmB, simul"
63.435,164.814,"spleen, AmB, simul"
95.322,151.916,"spleen, AmB, simul"
72,31.082,"spleen, AmB, obs"
0.7354,0.2726,"lung, nonLIP, simul"
11.0272,0.3295,"lung, nonLIP, simul"
19.9257,0.3895,"lung, nonLIP, simul"
27.8538,0.4261,"lung, nonLIP, simul"
36.422,0.4561,"lung, nonLIP, simul"
45.3093,0.4777,"lung, nonLIP, simul"
53.4493,0.5113,"lung, nonLIP, simul"
96.0517,0.5516,"lung, nonLIP, simul"
72,0.5078,"lung, AmB, obs"
1.1307,19.1592,"lung, AmB, simul"
6.6079,7.4377,"lung, AmB, simul"
12.9598,3.5214,"lung, AmB, simul"
19.64,1.801,"lung, AmB, simul"
28.7817,0.9216,"lung, AmB, simul"
36.8819,0.6419,"lung, AmB, simul"
50.5648,0.5399,"lung, AmB, simul"
72.3929,0.5135,"lung, AmB, simul"
95.8346,0.5336,"lung, AmB, simul"