"time","N","S","M"
0,0,0,0.118652112007594
0.1,11998.8714447516,0.314500613101185,0.11865210712171
0.2,20887.4096325341,1.14485231712114,0.118651980620666
0.3,27471.8714147245,2.35484111433893,0.118651266624678
0.4,32349.5167862233,3.84357264949805,0.118649070528227
0.5,35962.7846747764,5.53631667203865,0.118644132015475
0.6,38639.4254765622,7.37772476416348,0.118634930213789
0.7,40622.230628099,9.32680613713534,0.118619787052247
0.8,42091.0553831311,11.353205851759,0.118596953540038
0.9,43179.1331272211,13.4344477510844,0.118564676084245
1,43985.1605851764,15.5538920989533,0.118521244730109
1.1,44582.2506065457,17.6992225880257,0.118465026633804
1.2,45024.5636589706,19.8613256388947,0.118394488176653
1.3,45352.2208586042,22.033460114045,0.118308208553763
1.4,45594.9431489125,24.2106423087361,0.118204887247447
1.5,45774.7472472953,26.3891903451632,0.118083347116403
1.6,45907.9427497514,28.566386668714,0.11794253442502
1.7,46006.6114777129,30.7402280436715,0.117781516907904
1.8,46079.7034130012,32.9092403443201,0.117599480335683
1.9,46133.8485490211,35.0723413553124,0.117395724475759
2,46173.9582451895,37.2287391453272,0.117169658246653
2.1,46203.6707562832,39.3778567746741,0.116920795042233
2.2,46225.6812093973,41.5192765308875,0.116648747466067
2.3,46241.9861636969,43.6526985995565,0.116353222827307
2.4,46254.0645881322,45.7779104803186,0.116034017515341
2.5,46263.0120454214,47.8947643108428,0.115691013264257
2.6,46269.6401449225,50.0031600602602,0.115324171645543
2.7,46274.5501140139,52.1030330964821,0.114933530427228
2.8,46278.1873323799,54.1943449707246,0.114519198728945
2.9,46280.8817081797,56.277076594708,0.114081353049453
3,46282.8776518152,58.3512231758271,0.11362023387436
3.1,46284.3562048808,60.4167904780677,0.113136140334071
3.2,46285.4514911692,62.4737920424753,0.112629428644974
3.3,46286.2628635819,64.5222471350004,0.112100506252664
3.4,46286.8639095336,66.562179225245,0.111549829239993
3.5,46287.3091232733,68.5936148594907,0.110977900098317
3.6,46287.6389393292,70.6165828106891,0.110385262489601
3.7,46287.883280885,72.6311134794213,0.109772497243056
3.8,46288.0642870812,74.6372384336164,0.109140221731708
3.9,46288.1983608196,76.6349900630853,0.108489086024256
4,46288.2976915758,78.6244013228156,0.107819766693453
4.1,46288.3712796794,80.6055055604559,0.107132967267181
4.2,46288.4257859948,82.578336373336,0.106429415099003
4.3,46288.4661647903,84.5429275026073,0.105709855429768
4.4,46288.4960649405,86.499312762925,0.104975051152294
4.5,46288.5182109744,88.4475259840603,0.104225779348463
4.6,46288.5346196208,90.387600972404,0.1034628275324
4.7,46288.5467816487,92.3195714805833,0.102686992066297
4.8,46288.5558224016,94.2434711804401,0.101899074513256
4.9,46288.5625209941,96.1593336634444,0.101099881285229
5,46288.5674787613,98.0671924075022,0.100290218987576
5.1,46288.5710679258,99.9670807779722,0.099470895081679
5.2,46288.573720856,101.859032007679,0.0986427101694745
5.3,46288.575707443,103.743079211298,0.0978064597474592
5.4,46288.5772251597,105.619255406509,0.0969629320057036
5.5,46288.5783433857,107.487593377562,0.0961128988264429
5.6,46288.5791683241,109.34812593896,0.095257133919717
5.7,46288.5797804387,111.200885657834,0.0943963928960466
5.8,46288.5802347036,113.045904999243,0.0935314100630179
5.9,46288.580571005,114.883216293466,0.0926629081816429
6,46288.5808202144,116.712851738539,0.0917915928799744
6.1,46288.5810048573,118.53484339891,0.0909181501896166
6.2,46288.5811415555,120.349223201317,0.0900432458937475
6.3,46288.5812424506,122.156022926429,0.0891675219305698
6.4,46288.5813177847,123.955274272912,0.0882916068639348
6.5,46288.5813737421,125.747008762971,0.0874161007286063
6.6,46288.5814151825,127.531257792916,0.086541583344979
6.7,46288.5814458393,129.308052654603,0.0856686163023825
6.8,46288.5814684265,131.077424471063,0.0847977281591243
6.9,46288.5814851628,132.839404279762,0.0839294317566944
7,46288.5814974714,134.594022940875,0.0830642038866055
7.1,46288.5815065988,136.34131120958,0.0822025007562391
7.2,46288.5815133659,138.08129971046,0.0813447593637977
7.3,46288.5815183779,139.814018940763,0.0804913932990367
7.4,46288.5815220907,141.539499269024,0.0796427895727889
7.5,46288.5815248411,143.257770936959,0.0787993119494582
7.6,46288.5815268806,144.968864063962,0.0779613024035544
7.7,46288.5815283978,146.672808642201,0.0771290792368634
7.8,46288.5815295205,148.369634533408,0.0763029374451503
7.9,46288.5815303478,150.059371477856,0.0754831532202333
8,46288.5815309515,151.742049086178,0.07466997932726
8.1,46288.5815314007,153.417696854702,0.0738636475914834
8.2,46288.5815317381,155.086344152566,0.0730643675302806
8.3,46288.5815319907,156.748020227802,0.0722723303685948
8.4,46288.5815321768,158.402754199085,0.0714877153112095
8.5,46288.5815323139,160.050575072556,0.0707106846640934
8.6,46288.5815324159,161.691511729371,0.0699413736600035
8.7,46288.5815324915,163.325592930897,0.0691799050857255
8.8,46288.5815325475,164.952847317074,0.0684263878448822
8.9,46288.5815325889,166.573303408099,0.0676809148019015
9,46288.5815326197,168.186989608516,0.0669435654916467
9.1,46288.5815326425,169.793934196362,0.0662144050842347
9.2,46288.5815326595,171.394165343277,0.0654934866587417
9.3,46288.5815326721,172.987711099954,0.06478085246345
9.4,46288.5815326812,174.574599388183,0.0640765326450978
9.5,46288.5815326878,176.154858016514,0.0633805453985563
9.6,46288.5815326928,177.728514688052,0.0626928983893749
9.7,46288.5815326968,179.295596984085,0.0620135924598515
9.8,46288.5815326997,180.856132371081,0.0613426262425617
9.9,46288.5815327017,182.410148200023,0.0606799796529901
10,46288.5815327032,183.957671708498,0.0600256239220103
10.1,46288.5815327044,185.498730019731,0.0593795312444463
10.2,46288.5815327052,187.033350142522,0.0587416647980278
10.3,46288.5815327058,188.561558975752,0.0581119816180506
10.4,46288.5815327062,190.083383302989,0.0574904333595354
10.5,46288.5815327066,191.598849795415,0.0568769666752995
10.6,46288.5815327068,193.107985017723,0.0562715238817368
10.7,46288.581532707,194.610815420334,0.0556740430985497
10.8,46288.5815327071,196.107367342783,0.0550844586601842
10.9,46288.5815327072,197.597666966189,0.0545027000210635
11,46288.5815327073,199.081740434057,0.0539286955608407
11.1,46288.5815327074,200.559613863551,0.0533623744148233
11.2,46288.5815327074,202.031313080379,0.0528036581591535
11.3,46288.5815327074,203.49686387658,0.0522524648765319
11.4,46288.5815327074,204.956291938095,0.0517087141809892
11.5,46288.5815327075,206.409622845479,0.0511723233545365
11.6,46288.5815327075,207.856882067544,0.0506432083269535
11.7,46288.5815327075,209.298094965739,0.0501212837813149
11.8,46288.5815327075,210.733286807084,0.0496064635329706
11.9,46288.5815327075,212.162482751275,0.0490986605096677
12,46288.5815327075,213.58570784309,0.048597786951115
12.1,46288.5815327075,215.002987024442,0.0481037546067017
12.2,46288.5815327075,216.414345081765,0.0476164749435544
12.3,46288.5815327075,217.819806702541,0.0471358593728056
12.4,46288.5815327075,219.219396668598,0.0466618194134722
12.5,46288.5815327075,220.613139547178,0.0461942665699629
12.6,46288.5815327075,222.001059575785,0.0457331123239878
12.7,46288.5815327075,223.383181214749,0.045278268172596
12.8,46288.5815327075,224.759528821131,0.044829642333848
12.9,46288.5815327075,226.130126362068,0.044387142135052
13,46288.5815327075,227.494997861528,0.0439506906948885
13.1,46288.5815327075,228.854167240514,0.0435201995024734
13.2,46288.5815327075,230.207658322108,0.0430955819490024
13.3,46288.5815327075,231.555494829521,0.0426767523427799
13.4,46288.5815327075,232.897700386219,0.0422636256520517
13.5,46288.5815327075,234.234298513601,0.0418561177580061
13.6,46288.5815327075,235.56531263994,0.0414541453167835
13.7,46288.5815327075,236.890766093327,0.0410576257828341
13.8,46288.5815327075,238.210682108018,0.0406664774136493
13.9,46288.5815327075,239.525083819844,0.0402806193751515
14,46288.5815327075,240.833994263575,0.0398999718742915
14.1,46288.5815327075,242.137436382663,0.0395244559402579
14.2,46288.5815327075,243.435433019595,0.0391539936145145
14.3,46288.5815327075,244.728006925769,0.0387885078894709
14.4,46288.5815327075,246.015180756402,0.0384279226961193
14.5,46288.5815327075,247.296977072559,0.0380721628545732
14.6,46288.5815327075,248.573418339249,0.037721154210627
14.7,46288.5815327075,249.844526928015,0.0373748236841903
14.8,46288.5815327075,251.110325117649,0.0370330991535353
14.9,46288.5815327075,252.370835093888,0.0366959094485762
15,46288.5815327075,253.626078949651,0.0363631844145545
15.1,46288.5815327075,254.876078685475,0.0360348549126456
15.2,46288.5815327075,256.120856210096,0.0357108528013608
15.3,46288.5815327075,257.360433340406,0.0353911109389638
15.4,46288.5815327075,258.594831802497,0.0350755631813755
15.5,46288.5815327075,259.824073231937,0.0347641443586053
15.6,46288.5815327075,261.048179173582,0.0344567902897324
15.7,46288.5815327075,262.267171082495,0.0341534377846932
15.8,46288.5815327075,263.481070324568,0.0338540246110823
15.9,46288.5815327075,264.689898174902,0.0335584895385235
16,46288.5815327075,265.893675820688,0.0332667722879859
16.1,46288.5815327075,267.092424360451,0.0329788135085627
16.2,46288.5815327075,268.286164804598,0.0326945547945165
16.3,46288.5815327075,269.474918075927,0.0324139386697257
16.4,46288.5815327075,270.658705009685,0.032136908581581
16.5,46288.5815327075,271.837546354104,0.0318634088945998
16.6,46288.5815327075,273.01146277072,0.0315933848741108
16.7,46288.5815327075,274.180474834727,0.0313267826774264
16.8,46288.5815327075,275.344603035385,0.0310635493420776
16.9,46288.5815327075,276.503867776441,0.0308036327726673
17,46288.5815327075,277.658289376277,0.0305469817322557
17.1,46288.5815327075,278.807888068361,0.0302935458354599
17.2,46288.5815327075,279.9526840017,0.0300432755302508
17.3,46288.5815327075,281.092697241294,0.0297961220831118
17.4,46288.5815327075,282.227947768005,0.0295520375759611
17.5,46288.5815327075,283.358455479334,0.0293109748960788
17.6,46288.5815327075,284.484240189687,0.029072887716416
17.7,46288.5815327075,285.605321630891,0.0288377304817051
17.8,46288.5815327075,286.721719451825,0.0286054584091732
17.9,46288.5815327075,287.833453219545,0.0283760274704256
18,46288.5815327075,288.940542419409,0.0281493943761894
18.1,46288.5815327075,290.043006455467,0.0279255165652378
18.2,46288.5815327075,291.140864650452,0.0277043522006517
18.3,46288.5815327075,292.234136246542,0.027485860152386
18.4,46288.5815327075,293.322840405597,0.027269999983466
18.5,46288.5815327075,294.406996209329,0.0270567319422702
18.6,46288.5815327075,295.486622659728,0.0268460169544616
18.7,46288.5815327075,296.561738679459,0.0266378166063902
18.8,46288.5815327075,297.63236311205,0.0264320931344734
18.9,46288.5815327075,298.698514722016,0.0262288094198373
19,46288.5815327075,299.760212195823,0.0260279289723254
19.1,46288.5815327075,300.817474141923,0.0258294159183421
19.2,46288.5815327075,301.870319091009,0.0256332349924566
19.3,46288.5815327075,302.918765496329,0.0254393515304188
19.4,46288.5815327075,303.962831734087,0.0252477314546742
19.5,46288.5815327075,305.002536103423,0.0250583412659667
19.6,46288.5815327075,306.037896827011,0.0248711480342953
19.7,46288.5815327075,307.068932051692,0.0246861193862768
19.8,46288.5815327075,308.0956598486,0.0245032234941151
19.9,46288.5815327075,309.118098213324,0.0243224290687862
20,46288.5815327075,310.136265065945,0.0241437053546029
20.1,46288.5815327075,311.150178251599,0.0239670221146941
20.2,46288.5815327075,312.159855541267,0.023792349618949
20.3,46288.5815327075,313.165314631654,0.0236196586406586
20.4,46288.5815327075,314.166573145648,0.0234489204445501
20.5,46288.5815327075,315.163648631981,0.02328010678123
20.6,46288.5815327075,316.156558566203,0.023113189876463
20.7,46288.5815327075,317.145320351237,0.0229481424205929
20.8,46288.5815327075,318.129951317433,0.0227849375601523
20.9,46288.5815327075,319.110468721989,0.0226235488966201
21,46288.5815327075,320.086889750287,0.022463950472236
